,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95,,,Lo.80,Hi.80,Lo.95,Hi.95
41255,2217.528584,1034.738265,3400.318903,408.6068919,4026.450276,,,,,,
41256,2217.528414,1025.807873,3409.248956,394.949125,4040.107704,,,,,,
41257,2217.528349,1016.943983,3418.112715,381.3930105,4053.663688,,,,,,
41258,2217.528363,1008.14512,3426.911606,367.9363033,4067.120423,,,,,,
41259,2217.528436,999.4098615,3435.64701,354.5768397,4080.480032,,,,,,
41260,2217.528549,990.7368374,3444.320261,341.3125341,4093.744564,,,,,,
41261,2217.528689,982.1247276,3452.93265,328.1413747,4106.916003,,,,,,
41262,2217.528843,973.5722586,3461.485428,315.0614203,4119.996266,,,,,,
41263,2217.529004,965.0782019,3469.979805,302.0707968,4132.98721,,,,,,
41264,2217.529163,956.6413716,3478.416954,289.1676942,4145.890631,,,,,,
41265,2217.529315,948.2606222,3486.798009,276.3503631,4158.708268,,,,,,
41266,2217.529458,939.9348468,3495.12407,263.6171126,4171.441804,,,,,,
41267,2217.529589,931.6629749,3503.396204,250.966307,4184.092872,,,,,,
41268,2217.529707,923.4439712,3511.615443,238.3963634,4196.66305,,,,,,
41269,2217.529811,915.2768336,3519.782787,225.9057493,4209.153872,,,,,,
41270,2217.5299,907.1605915,3527.899209,213.4929807,4221.56682,,,,,,
41271,2217.529977,899.0943047,3535.965649,201.1566191,4233.903335,,,,,,
41272,2217.530041,891.077062,3543.98302,188.8952705,4246.164812,,,,,,
41273,2217.530094,883.1079796,3551.952208,176.7075827,4258.352605,,,,,,
41274,2217.530136,875.1862001,3559.874073,164.5922439,4270.468029,,,,,,
41275,2217.53017,867.3108914,3567.749449,152.5479809,4282.512359,,,,,,
41276,2217.530196,859.4812457,3575.579146,140.5735574,4294.486834,,,,,,
41277,2217.530215,851.6964782,3583.363952,128.6677728,4306.392657,,,,,,
41278,2217.530229,843.9558265,3591.104631,116.8294605,4318.230997,,,,,,
41279,2217.530238,836.2585495,3598.801926,105.0574863,4330.002989,,,,,,
41280,2217.530243,828.6039265,3606.456559,93.35074792,4341.709738,,,,,,
41281,2217.530245,820.9912567,3614.069234,81.70817287,4353.352317,,,,,,
41282,2217.530245,813.4198581,3621.640633,70.12871789,4364.931773,,,,,,
41283,2217.530244,805.889067,3629.17142,58.61136765,4376.44912,,,,,,
41284,2217.530241,798.3982373,3636.662245,47.15513371,4387.905348,,,,,,
41285,2217.530238,790.9467398,3644.113735,35.75905357,4399.301421,,,,,,
41286,2217.530234,783.5339616,3651.526506,24.42218969,4410.638277,,,,,,
41287,2217.530229,776.1593054,3658.901153,13.14362862,4421.91683,,,,,,
41288,2217.530225,768.8221894,3666.238261,1.922480112,4433.13797,,,,,,
41289,2217.530221,761.5220459,3673.538396,-9.242123647,4444.302566,,,,,,
41290,2217.530217,754.2583219,3680.802113,-20.35102886,4455.411463,,,,,,
41291,2217.530214,747.0304777,3688.02995,-31.40506086,4466.465488,,,,,,
41292,2217.530211,739.8379868,3695.222434,-42.4050248,4477.465446,,,,,,
41293,2217.530208,732.6803355,3702.38008,-53.35170633,4488.412122,,,,,,
41294,2217.530205,725.5570224,3709.503388,-64.24587231,4499.306283,,,,,,
41295,2217.530203,718.467558,3716.592849,-75.08827135,4510.148678,,,,,,
41296,2217.530202,711.4114643,3723.648939,-85.87963446,4520.940038,,,,,,
41297,2217.5302,704.3882745,3730.672126,-96.62067562,4531.681076,,,,,,
41298,2217.530199,697.3975324,3737.662865,-107.3120923,4542.37249,,,,,,
41299,2217.530198,690.4387926,3744.621603,-117.9545661,4553.014962,,,,,,
41300,2217.530197,683.5116193,3751.548775,-128.548763,4563.609157,,,,,,
41301,2217.530197,676.6155869,3758.444806,-139.0953341,4574.155727,,,,,,
41302,2217.530196,669.7502792,3765.310113,-149.594916,4584.655309,,,,,,
41303,2217.530196,662.915289,3772.145103,-160.0481313,4595.108523,,,,,,
41304,2217.530196,656.1102183,3778.950173,-170.4555888,4605.515981,,,,,,
41305,2217.530196,649.3346774,3785.725714,-180.8178843,4615.878276,,,,,,
41306,2217.530196,642.5882853,3792.472106,-191.1356007,4626.195992,,,,,,
41307,2217.530196,635.8706689,3799.189723,-201.4093083,4636.4697,,,,,,
41308,2217.530196,629.1814633,3805.878928,-211.6395656,4646.699957,,,,,,
41309,2217.530196,622.5203107,3812.540081,-221.8269193,4656.887311,,,,,,
41310,2217.530196,615.8868614,3819.173531,-231.9719047,4667.032297,,,,,,
41311,2217.530196,609.2807724,3825.77962,-242.075046,4677.135438,,,,,,
41312,2217.530196,602.701708,3832.358684,-252.1368567,4687.197249,,,,,,
41313,2217.530196,596.1493392,3838.911054,-262.1578401,4697.218233,,,,,,
41314,2217.530196,589.6233437,3845.437049,-272.1384891,4707.198882,,,,,,
41315,2217.530197,583.1234055,3851.936988,-282.0792868,4717.13968,,,,,,
41316,2217.530197,576.6492149,3858.411178,-291.9807069,4727.0411,,,,,,
41317,2217.530197,570.2004684,3864.859925,-301.8432135,4736.903607,,,,,,
41318,2217.530197,563.7768684,3871.283525,-311.667262,4746.727656,,,,,,
41319,2217.530197,557.3781229,3877.682271,-321.4532988,4756.513693,,,,,,
41320,2217.530197,551.0039457,3884.056448,-331.2017617,4766.262155,,,,,,
41321,2217.530197,544.6540559,3890.406338,-340.9130801,4775.973474,,,,,,
41322,2217.530197,538.3281779,3896.732216,-350.5876756,4785.64807,,,,,,
41323,2217.530197,532.0260415,3903.034352,-360.2259615,4795.286356,,,,,,
41324,2217.530197,525.7473813,3909.313013,-369.8283437,4804.888738,,,,,,
41325,2217.530197,519.4919369,3915.568457,-379.3952203,4814.455614,,,,,,
41326,2217.530197,513.2594526,3921.800941,-388.9269825,4823.987377,,,,,,
41327,2217.530197,507.0496775,3928.010717,-398.4240139,4833.484408,,,,,,
41328,2217.530197,500.8623652,3934.198029,-407.8866916,4842.947086,,,,,,
41329,2217.530197,494.6972735,3940.363121,-417.3153856,4852.37578,,,,,,
41330,2217.530197,488.5541649,3946.506229,-426.7104595,4861.770854,,,,,,
41331,2217.530197,482.4328058,3952.627588,-436.0722704,4871.132665,,,,,,
41332,2217.530197,476.3329669,3958.727427,-445.401169,4880.461563,,,,,,
41333,2217.530197,470.2544227,3964.805971,-454.6975002,4889.757894,,,,,,
41334,2217.530197,464.1969517,3970.863442,-463.9616025,4899.021997,,,,,,
41335,2217.530197,458.1603364,3976.900058,-473.193809,4908.254203,,,,,,
41336,2217.530197,452.1443628,3982.916031,-482.3944467,4917.454841,,,,,,
41337,2217.530197,446.1488205,3988.911574,-491.5638373,4926.624231,,,,,,
41338,2217.530197,440.1735028,3994.886891,-500.7022972,4935.762691,,,,,,
41339,2217.530197,434.2182064,4000.842188,-509.810137,4944.870531,,,,,,
41340,2217.530197,428.2827314,4006.777663,-518.8876627,4953.948057,,,,,,
41341,2217.530197,422.3668811,4012.693513,-527.9351749,4962.995569,,,,,,
41342,2217.530197,416.4704623,4018.589932,-536.9529693,4972.013363,,,,,,
41343,2217.530197,410.5932846,4024.467109,-545.9413369,4981.001731,,,,,,
41344,2217.530197,404.7351609,4030.325233,-554.9005639,4989.960958,,,,,,
41345,2217.530197,398.8959072,4036.164487,-563.8309319,4998.891326,,,,,,
41346,2217.530197,393.0753421,4041.985052,-572.732718,5007.793112,,,,,,
41347,2217.530197,387.2732875,4047.787107,-581.6061949,5016.666589,,,,,,
41348,2217.530197,381.4895678,4053.570826,-590.4516308,5025.512025,,,,,,
41349,2217.530197,375.7240102,4059.336384,-599.2692902,5034.329684,,,,,,
41350,2217.530197,369.9764449,4065.083949,-608.0594328,5043.119827,,,,,,
41351,2217.530197,364.2467043,4070.81369,-616.8223149,5051.882709,,,,,,
41352,2217.530197,358.5346237,4076.52577,-625.5581883,5060.618582,,,,,,
41353,2217.530197,352.8400407,4082.220353,-634.2673014,5069.327696,,,,,,
41354,2217.530197,347.1627955,4087.897599,-642.9498986,5078.010293,,,,,,
41355,2217.530197,341.5027308,4093.557663,-651.6062206,5086.666615,,,,,,
41356,2217.530197,335.8596915,4099.200703,-660.2365045,5095.296899,,,,,,
41357,2217.530197,330.2335249,4104.826869,-668.8409838,5103.901378,,,,,,
41358,2217.530197,324.6240805,4110.436314,-677.4198887,5112.480283,,,,,,
41359,2217.530197,319.0312101,4116.029184,-685.9734459,5121.03384,,,,,,
41360,2217.530197,313.4547676,4121.605626,-694.5018786,5129.562273,,,,,,
41361,2217.530197,307.8946092,4127.165785,-703.0054071,5138.065801,,,,,,
41362,2217.530197,302.350593,4132.709801,-711.4842482,5146.544642,,,,,,
41363,2217.530197,296.8225793,4138.237815,-719.9386157,5154.99901,,,,,,
41364,2217.530197,291.3104302,4143.749964,-728.3687203,5163.429114,,,,,,
41365,2217.530197,285.8140099,4149.246384,-736.7747697,5171.835164,,,,,,
41366,2217.530197,280.3331846,4154.727209,-745.1569686,5180.217363,,,,,,
41367,2217.530197,274.8678222,4160.192572,-753.515519,5188.575913,,,,,,
41368,2217.530197,269.4177927,4165.642601,-761.8506199,5196.911014,,,,,,
41369,2217.530197,263.9829677,4171.077426,-770.1624675,5205.222862,,,,,,
41370,2217.530197,258.5632207,4176.497173,-778.4512553,5213.511649,,,,,,
41371,2217.530197,253.1584268,4181.901967,-786.7171743,5221.777568,,,,,,
41372,2217.530197,247.7684629,4187.291931,-794.9604126,5230.020807,,,,,,
41373,2217.530197,242.3932077,4192.667186,-803.1811561,5238.24155,,,,,,
41374,2217.530197,237.0325414,4198.027853,-811.3795877,5246.439982,,,,,,
41375,2217.530197,231.6863458,4203.374048,-819.5558882,5254.616282,,,,,,
41376,2217.530197,226.3545044,4208.70589,-827.710236,5262.77063,,,,,,
41377,2217.530197,221.0369023,4214.023492,-835.8428067,5270.903201,,,,,,
41378,2217.530197,215.7334258,4219.326968,-843.9537741,5279.014168,,,,,,
41379,2217.530197,210.443963,4224.616431,-852.0433093,5287.103703,,,,,,
41380,2217.530197,205.1684035,4229.891991,-860.1115813,5295.171975,,,,,,
41381,2217.530197,199.9066381,4235.153756,-868.158757,5303.219151,,,,,,
41382,2217.530197,194.6585592,4240.401835,-876.185001,5311.245395,,,,,,
41383,2217.530197,189.4240607,4245.636333,-884.1904757,5319.25087,,,,,,
41384,2217.530197,184.2030375,4250.857357,-892.1753416,5327.235736,,,,,,
41385,2217.530197,178.9953862,4256.065008,-900.1397571,5335.200151,,,,,,
41386,2217.530197,173.8010045,4261.25939,-908.0838783,5343.144272,,,,,,
41387,2217.530197,168.6197915,4266.440603,-916.0078597,5351.068254,,,,,,
41388,2217.530197,163.4516476,4271.608746,-923.9118538,5358.972248,,,,,,
41389,2217.530197,158.2964744,4276.76392,-931.7960109,5366.856405,,,,,,
41390,2217.530197,153.1541746,4281.906219,-939.6604797,5374.720874,,,,,,
41391,2217.530197,148.0246524,4287.035742,-947.505407,5382.565801,,,,,,
41392,2217.530197,142.9078129,4292.152581,-955.3309376,5390.391332,,,,,,
41393,2217.530197,137.8035626,4297.256831,-963.1372149,5398.197609,,,,,,
41394,2217.530197,132.7118089,4302.348585,-970.9243801,5405.984774,,,,,,
41395,2217.530197,127.6324606,4307.427933,-978.692573,5413.752967,,,,,,
41396,2217.530197,122.5654274,4312.494967,-986.4419316,5421.502326,,,,,,
41397,2217.530197,117.5106201,4317.549774,-994.1725922,5429.232986,,,,,,
41398,2217.530197,112.4679507,4322.592443,-1001.88469,5436.945084,,,,,,
41399,2217.530197,107.4373322,4327.623062,-1009.578357,5444.638751,,,,,,
41400,2217.530197,102.4186785,4332.641716,-1017.253725,5452.314119,,,,,,
41401,2217.530197,97.41190481,4337.648489,-1024.910925,5459.971319,,,,,,
41402,2217.530197,92.41692702,4342.643467,-1032.550084,5467.610478,,,,,,
41403,2217.530197,87.43366219,4347.626732,-1040.17133,5475.231724,,,,,,
41404,2217.530197,82.46202831,4352.598366,-1047.774788,5482.835182,,,,,,
41405,2217.530197,77.5019443,4357.55845,-1055.360582,5490.420976,,,,,,
41406,2217.530197,72.55333006,4362.507064,-1062.928834,5497.989228,,,,,,
41407,2217.530197,67.61610637,4367.444288,-1070.479666,5505.54006,,,,,,
41408,2217.530197,62.69019495,4372.370199,-1078.013197,5513.073592,,,,,,
41409,2217.530197,57.77551838,4377.284876,-1085.529547,5520.589941,,,,,,
41410,2217.530197,52.87200015,4382.188394,-1093.028831,5528.089225,,,,,,
41411,2217.530197,47.9795646,4387.080829,-1100.511165,5535.571559,,,,,,
41412,2217.530197,43.09813691,4391.962257,-1107.976665,5543.037059,,,,,,
41413,2217.530197,38.22764313,4396.832751,-1115.425442,5550.485836,,,,,,
41414,2217.530197,33.3680101,4401.692384,-1122.857609,5557.918003,,,,,,
41415,2217.530197,28.5191655,4406.541229,-1130.273277,5565.333671,,,,,,
41416,2217.530197,23.68103778,4411.379356,-1137.672555,5572.732949,,,,,,
41417,2217.530197,18.8535562,4416.206838,-1145.055551,5580.115945,,,,,,
41418,2217.530197,14.0366508,4421.023743,-1152.422372,5587.482766,,,,,,
41419,2217.530197,9.230252355,4425.830142,-1159.773124,5594.833518,,,,,,
41420,2217.530197,4.434292415,4430.626102,-1167.107912,5602.168306,,,,,,
41421,2217.530197,-0.351296737,4435.411691,-1174.426839,5609.487233,,,,,,
41422,2217.530197,-5.126582089,4440.186976,-1181.730008,5616.790402,,,,,,
41423,2217.530197,-9.891629911,4444.952024,-1189.017519,5624.077914,,,,,,
41424,2217.530197,-14.64650577,4449.7069,-1196.289475,5631.349869,,,,,,
41425,2217.530197,-19.39127452,4454.451669,-1203.545972,5638.606366,,,,,,
41426,2217.530197,-24.12600035,4459.186394,-1210.78711,5645.847505,,,,,,
41427,2217.530197,-28.85074676,4463.911141,-1218.012987,5653.073381,,,,,,
41428,2217.530197,-33.56557658,4468.625971,-1225.223696,5660.284091,,,,,,
41429,2217.530197,-38.27055201,4473.330946,-1232.419335,5667.47973,,,,,,
41430,2217.530197,-42.96573456,4478.026129,-1239.599998,5674.660392,,,,,,
41431,2217.530197,-47.65118513,4482.711579,-1246.765776,5681.82617,,,,,,
41432,2217.530197,-52.326964,4487.387358,-1253.916762,5688.977157,,,,,,
41433,2217.530197,-56.9931308,4492.053525,-1261.053049,5696.113443,,,,,,
41434,2217.530197,-61.64974457,4496.710139,-1268.174725,5703.235119,,,,,,
41435,2217.530197,-66.29686376,4501.357258,-1275.28188,5710.342275,,,,,,
41436,2217.530197,-70.93454619,4505.99494,-1282.374604,5717.434998,,,,,,
41437,2217.530197,-75.56284912,4510.623243,-1289.452982,5724.513376,,,,,,
41438,2217.530197,-80.18182925,4515.242223,-1296.517103,5731.577497,,,,,,
41439,2217.530197,-84.79154266,4519.851937,-1303.567051,5738.627445,,,,,,
41440,2217.530197,-89.39204493,4524.452439,-1310.602912,5745.663306,,,,,,
41441,2217.530197,-93.98339103,4529.043785,-1317.62477,5752.685164,,,,,,
41442,2217.530197,-98.56563544,4533.62603,-1324.632708,5759.693102,,,,,,
41443,2217.530197,-103.1388321,4538.199226,-1331.626809,5766.687203,,,,,,
41444,2217.530197,-107.7030343,4542.763428,-1338.607154,5773.667548,,,,,,
41445,2217.530197,-112.2582949,4547.318689,-1345.573824,5780.634218,,,,,,
41446,2217.530197,-116.8046664,4551.86506,-1352.526899,5787.587293,,,,,,
41447,2217.530197,-121.3422005,4556.402595,-1359.466458,5794.526852,,,,,,
41448,2217.530197,-125.8709486,4560.931343,-1366.392581,5801.452975,,,,,,
41449,2217.530197,-130.3909615,4565.451356,-1373.305344,5808.365738,,,,,,
41450,2217.530197,-134.9022896,4569.962684,-1380.204825,5815.265219,,,,,,
41451,2217.530197,-139.4049827,4574.465377,-1387.0911,5822.151494,,,,,,
41452,2217.530197,-143.8990903,4578.959484,-1393.964244,5829.024638,,,,,,
41453,2217.530197,-148.3846612,4583.445055,-1400.824333,5835.884727,,,,,,
41454,2217.530197,-152.8617439,4587.922138,-1407.67144,5842.731834,,,,,,
41455,2217.530197,-157.3303865,4592.390781,-1414.505639,5849.566033,,,,,,
41456,2217.530197,-161.7906364,4596.85103,-1421.327003,5856.387397,,,,,,
41457,2217.530197,-166.2425408,4601.302935,-1428.135603,5863.195997,,,,,,
41458,2217.530197,-170.6861464,4605.74654,-1434.931511,5869.991905,,,,,,
41459,2217.530197,-175.1214994,4610.181893,-1441.714798,5876.775192,,,,,,
41460,2217.530197,-179.5486456,4614.60904,-1448.485534,5883.545928,,,,,,
41461,2217.530197,-183.9676304,4619.028024,-1455.243788,5890.304182,,,,,,
41462,2217.530197,-188.3784988,4623.438893,-1461.989629,5897.050023,,,,,,
41463,2217.530197,-192.7812953,4627.841689,-1468.723125,5903.78352,,,,,,
41464,2217.530197,-197.1760641,4632.236458,-1475.444344,5910.504738,,,,,,
41465,2217.530197,-201.5628489,4636.623243,-1482.153353,5917.213747,,,,,,
41466,2217.530197,-205.9416931,4641.002087,-1488.850217,5923.910611,,,,,,
41467,2217.530197,-210.3126396,4645.373034,-1495.535003,5930.595397,,,,,,
41468,2217.530197,-214.6757311,4649.736125,-1502.207775,5937.26817,,,,,,
41469,2217.530197,-219.0310097,4654.091404,-1508.868599,5943.928993,,,,,,
41470,2217.530197,-223.3785173,4658.438911,-1515.517538,5950.577932,,,,,,
41471,2217.530197,-227.7182952,4662.778689,-1522.154656,5957.21505,,,,,,
41472,2217.530197,-232.0503847,4667.110779,-1528.780015,5963.840409,,,,,,
41473,2217.530197,-236.3748263,4671.43522,-1535.393678,5970.454072,,,,,,
41474,2217.530197,-240.6916605,4675.752055,-1541.995706,5977.0561,,,,,,
41475,2217.530197,-245.0009273,4680.061321,-1548.586161,5983.646555,,,,,,
41476,2217.530197,-249.3026663,4684.36306,-1555.165103,5990.225497,,,,,,
41477,2217.530197,-253.5969169,4688.657311,-1561.732592,5996.792987,,,,,,
41478,2217.530197,-257.883718,4692.944112,-1568.288689,6003.349083,,,,,,
41479,2217.530197,-262.1631082,4697.223502,-1574.833452,6009.893846,,,,,,
41480,2217.530197,-266.4351258,4701.49552,-1581.366939,6016.427333,,,,,,
41481,2217.530197,-270.6998089,4705.760203,-1587.889209,6022.949603,,,,,,
41482,2217.530197,-274.9571951,4710.017589,-1594.400319,6029.460713,,,,,,
41483,2217.530197,-279.2073217,4714.267716,-1600.900327,6035.960721,,,,,,
41484,2217.530197,-283.4502257,4718.51062,-1607.389288,6042.449682,,,,,,
41485,2217.530197,-287.6859438,4722.746338,-1613.86726,6048.927654,,,,,,
41486,2217.530197,-291.9145124,4726.974906,-1620.334298,6055.394692,,,,,,
41487,2217.530197,-296.1359675,4731.196362,-1626.790456,6061.85085,,,,,,
41488,2217.530197,-300.3503451,4735.410739,-1633.23579,6068.296185,,,,,,
41489,2217.530197,-304.5576804,4739.618074,-1639.670355,6074.730749,,,,,,
41490,2217.530197,-308.7580088,4743.818403,-1646.094203,6081.154597,,,,,,
41491,2217.530197,-312.9513651,4748.011759,-1652.507388,6087.567782,,,,,,
41492,2217.530197,-317.1377839,4752.198178,-1658.909963,6093.970357,,,,,,
41493,2217.530197,-321.3172996,4756.377694,-1665.30198,6100.362374,,,,,,
41494,2217.530197,-325.4899461,4760.55034,-1671.683492,6106.743887,,,,,,
41495,2217.530197,-329.6557573,4764.716151,-1678.054551,6113.114945,,,,,,
41496,2217.530197,-333.8147665,4768.875161,-1684.415207,6119.475601,,,,,,
41497,2217.530197,-337.9670071,4773.027401,-1690.765511,6125.825905,,,,,,
41498,2217.530197,-342.112512,4777.172906,-1697.105513,6132.165907,,,,,,
41499,2217.530197,-346.2513138,4781.311708,-1703.435264,6138.495658,,,,,,
41500,2217.530197,-350.3834449,4785.443839,-1709.754814,6144.815208,,,,,,
41501,2217.530197,-354.5089376,4789.569332,-1716.06421,6151.124604,,,,,,
41502,2217.530197,-358.6278236,4793.688218,-1722.363503,6157.423897,,,,,,
41503,2217.530197,-362.7401347,4797.800529,-1728.65274,6163.713134,,,,,,
41504,2217.530197,-366.8459022,4801.906296,-1734.931969,6169.992363,,,,,,
41505,2217.530197,-370.9451572,4806.005551,-1741.201239,6176.261633,,,,,,
41506,2217.530197,-375.0379307,4810.098325,-1747.460596,6182.52099,,,,,,
41507,2217.530197,-379.1242533,4814.184647,-1753.710087,6188.770481,,,,,,
41508,2217.530197,-383.2041553,4818.264549,-1759.949759,6195.010153,,,,,,
41509,2217.530197,-387.2776671,4822.338061,-1766.179657,6201.240051,,,,,,
41510,2217.530197,-391.3448184,4826.405213,-1772.399828,6207.460222,,,,,,
41511,2217.530197,-395.4056391,4830.466033,-1778.610318,6213.670712,,,,,,
41512,2217.530197,-399.4601585,4834.520553,-1784.81117,6219.871564,,,,,,
41513,2217.530197,-403.508406,4838.5688,-1791.00243,6226.062824,,,,,,
41514,2217.530197,-407.5504105,4842.610805,-1797.184143,6232.244537,,,,,,
41515,2217.530197,-411.5862008,4846.646595,-1803.356351,6238.416745,,,,,,
41516,2217.530197,-415.6158055,4850.6762,-1809.5191,6244.579494,,,,,,
41517,2217.530197,-419.639253,4854.699647,-1815.672432,6250.732826,,,,,,
41518,2217.530197,-423.6565713,4858.716965,-1821.81639,6256.876784,,,,,,
41519,2217.530197,-427.6677885,4862.728183,-1827.951017,6263.011411,,,,,,
41520,2217.530197,-431.6729322,4866.733326,-1834.076356,6269.13675,,,,,,
41521,2217.530197,-435.67203,4870.732424,-1840.192448,6275.252842,,,,,,
41522,2217.530197,-439.6651091,4874.725503,-1846.299336,6281.35973,,,,,,
41523,2217.530197,-443.6521966,4878.712591,-1852.39706,6287.457454,,,,,,
41524,2217.530197,-447.6333194,4882.693714,-1858.485662,6293.546056,,,,,,
41525,2217.530197,-451.6085043,4886.668898,-1864.565183,6299.625577,,,,,,
41526,2217.530197,-455.5777776,4890.638172,-1870.635662,6305.696056,,,,,,
41527,2217.530197,-459.5411658,4894.60156,-1876.697141,6311.757535,,,,,,
41528,2217.530197,-463.4986948,4898.559089,-1882.74966,6317.810054,,,,,,
41529,2217.530197,-467.4503907,4902.510785,-1888.793257,6323.853651,,,,,,
41530,2217.530197,-471.3962791,4906.456673,-1894.827972,6329.888367,,,,,,
41531,2217.530197,-475.3363855,4910.39678,-1900.853845,6335.914239,,,,,,
