Date,Time,Block,import
29-04-2016,11:30-11:45,47,1408
29-04-2016,11:45-12:00,48,1440
29-04-2016,12:00-12:15,49,1436
29-04-2016,12:15-12:30,50,1464
29-04-2016,12:30-12:45,51,1420
29-04-2016,12:45-13:00,52,1264
29-04-2016,13:00-13:15,53,1256
29-04-2016,13:15-13:30,54,1252
29-04-2016,13:30-13:45,55,1252
29-04-2016,13:45-14:00,56,1252
29-04-2016,14:00-14:15,57,1268
29-04-2016,14:15-14:30,58,1292
29-04-2016,14:30-14:45,59,1316
29-04-2016,14:45-15:00,60,1344
29-04-2016,15:00-15:15,61,1444
29-04-2016,15:15-15:30,62,1604
29-04-2016,15:30-15:45,63,1548
29-04-2016,15:45-16:00,64,1512
29-04-2016,16:00-16:15,65,1484
29-04-2016,16:15-16:30,66,1452
29-04-2016,16:30-16:45,67,1432
29-04-2016,16:45-17:00,68,1404
29-04-2016,17:00-17:15,69,1424
29-04-2016,17:15-17:30,70,1420
29-04-2016,17:30-17:45,71,1440
29-04-2016,17:45-18:00,72,1416
29-04-2016,18:00-18:15,73,1412
29-04-2016,18:15-18:30,74,1396
29-04-2016,18:30-18:45,75,1412
29-04-2016,18:45-19:00,76,1412
29-04-2016,19:00-19:15,77,1424
29-04-2016,19:15-19:30,78,1412
29-04-2016,19:30-19:45,79,1408
29-04-2016,19:45-20:00,80,1372
29-04-2016,20:00-20:15,81,1348
29-04-2016,20:15-20:30,82,1364
29-04-2016,20:30-20:45,83,1388
29-04-2016,20:45-21:00,84,1376
29-04-2016,21:00-21:15,85,1344
29-04-2016,21:15-21:30,86,1336
29-04-2016,21:30-21:45,87,1340
29-04-2016,21:45-22:00,88,1308
29-04-2016,22:00-22:15,89,1296
29-04-2016,22:15-22:30,90,1276
29-04-2016,22:30-22:45,91,1272
29-04-2016,22:45-23:00,92,1260
29-04-2016,23:00-23:15,93,1184
29-04-2016,23:15-23:30,94,1096
29-04-2016,23:30-23:45,95,1028
29-04-2016,23:45-00:00,96,1008
30-04-2016,00:00-00:15,1,944
30-04-2016,00:15-00:30,2,896
