,Point.Forecast,Lo.90,Hi.90,Lo.95,Hi.95
41240,2217.568164,883.1419711,3551.994357,627.5012819,3807.635046
41241,2217.562411,870.1147519,3565.010069,611.979495,3823.145326
41242,2217.55706,857.2121588,3577.90196,596.6061321,3838.507987
41243,2217.552187,844.4307705,3590.673604,581.377102,3853.727273
41244,2217.547835,831.7673038,3603.328366,566.2884846,3868.807185
41245,2217.544014,819.2186072,3615.869422,551.3365222,3883.751507
41246,2217.540717,806.7816544,3628.29978,536.5176105,3898.563824
41247,2217.53792,794.4535388,3640.6223,521.8282908,3913.247548
41248,2217.535586,782.2314689,3652.839704,507.2652432,3927.805929
41249,2217.533676,770.1127626,3664.954589,492.82528,3942.242071
41250,2217.532143,758.0948429,3676.969443,478.505339,3956.558947
41251,2217.530942,746.1752334,3688.886651,464.3024783,3970.759406
41252,2217.530028,734.3515538,3700.708501,450.2138703,3984.846185
41253,2217.529356,722.6215156,3712.437196,436.2367964,3998.821916
41254,2217.528887,710.9829182,3724.074856,422.368642,4012.689132
41255,2217.528584,699.4336447,3735.623524,408.6068919,4026.450276
41256,2217.528414,687.9716581,3747.085171,394.949125,4040.107704
41257,2217.528349,676.5949977,3758.4617,381.3930105,4053.663688
41258,2217.528363,665.3017753,3769.754951,367.9363033,4067.120423
41259,2217.528436,654.0901717,3780.9667,354.5768397,4080.480032
41260,2217.528549,642.9584337,3792.098664,341.3125341,4093.744564
41261,2217.528689,631.9048708,3803.152507,328.1413747,4106.916003
41262,2217.528843,620.9278519,3814.129835,315.0614203,4119.996266
41263,2217.529004,610.0258028,3825.032204,302.0707968,4132.98721
41264,2217.529163,599.1972032,3835.861122,289.1676942,4145.890631
41265,2217.529315,588.4405845,3846.618046,276.3503631,4158.708268
41266,2217.529458,577.7545268,3857.30439,263.6171126,4171.441804
41267,2217.529589,567.1376571,3867.921522,250.966307,4184.092872
41268,2217.529707,556.5886468,3878.470767,238.3963634,4196.66305
41269,2217.529811,546.1062097,3888.953411,225.9057493,4209.153872
41270,2217.5299,535.6891003,3899.3707,213.4929807,4221.56682
41271,2217.529977,525.3361116,3909.723842,201.1566191,4233.903335
41272,2217.530041,515.0460738,3920.014008,188.8952705,4246.164812
41273,2217.530094,504.8178523,3930.242335,176.7075827,4258.352605
41274,2217.530136,494.6503463,3940.409927,164.5922439,4270.468029
41275,2217.53017,484.5424875,3950.517853,152.5479809,4282.512359
41276,2217.530196,474.4932387,3960.567153,140.5735574,4294.486834
